country_name,target,target_description,tables
Australia,CAT rating of targets,"The CAT rates NDC targets against each country’s fair share contribution to global climate change mitigation, considering a range of equity principles including responsibility, capability, and equality. The CAT also rates NDC targets against indicative national emissions from global least-cost emissions pathways (called modelled domestic pathways ). For assessing targets against the fair share, we consider both a country’s domestic emission reductions and any emissions it supports abroad through the use of market mechanisms or other ways of support, as relevant. Australia does not intend to use market mechanisms and will achieve its NDC target through domestic action alone. We rate its NDC target against both global domestic pathways and fairness metrics. The CAT rates Australia’s 2030 NDC target as “Insufficient” when compared to modelled domestic emissions pathways. Australia’s NDC targets emissions 43% below 2005 levels by 2030, including LULUCF. However, this target is dependent on LULUCF sequestration estimates, which fluctuate widely year on year. Using the government’s projections for LULUCF from 2023, this target equates to a reduction of 20% below 2005 levels by 2030 excluding LULUCF. Projections for LULUCF sequestration in 2030 increased nearly fourfold between the government’s 2021 and 2023 projections. This effectively reduces the emissions reduction task for energy, industry, agriculture and waste. The “Insufficient” rating indicates that Australia’s NDC target in 2030 needs substantial improvements to be consistent with modelled domestic pathways limiting warming to 1.5°C. If all countries were to follow Australia’s approach, warming would reach over 2°C and up to 3°C. The CAT rates Australia’s 2030 NDC target as “Insufficient” when compared to its fair share emissions allocation. The “Insufficient” rating indicates that Australia’s NDC target in 2030 needs substantial improvements to be consistent with its fair share of the global mitigation effort to limit warming to 1.5°C. Australia’s target is at the least stringent end of what would be a fair share of global effort, and is not consistent with the 1.5°C limit, unless other countries make much deeper reductions and comparably greater effort. If all countries were to follow Australia’s approach, warming would reach over 2°C and up to 3°C. Australia needs to improve its fair share contribution through both strengthened domestic emissions reductions as well as financing additional climate action in developing countries. Australia’s international public climate finance contributions are rated “Critically insufficient”. Australia has committed to increase its climate finance but contributions to date have been very low compared to its fair share. To improve its rating, Australia needs to increase the level of its international climate finance. Australia has pledged AUD 3bn towards climate finance, encompassing both mitigation and adaptation, for the 2020-2025 period. This amount represents an increase from an earlier commitment of AUD 2bn (Department of Foreign Affairs, 2023). However, concerns remain that this commitment will include the relabelling of existing funds (Oxfam, 2023). The government finally rejoined the Green Climate Fund in 2023, after withdrawing in 2019, albeit with a “modest contribution” of AUD 50 million (ABC, 2023; Minister for Foreign Affairs & Minister for Climate Change and Energy, 2023b). At COP28, Australia joined the Clean Energy Transition Partnership, pledging to end direct public investments into international fossil fuels projects within a year (Minister for Foreign Affairs & Minister for Climate Change and Energy, 2023a). This led the CAT to improve Australia’s fossil fuel finance overseas rating from “Highly Insufficient” to “Insufficient”. However, this does not improve Australia’s overall climate finance rating. To receive a better rating, Australia must increase the level of its international climate finance. Australia's lack of action on climate finance is central to the discussions around COP31. Australia is proposing to host the 2026 Conference of Parties in collaboration with 'the Pacific family'. In March 2023, governments from Vanuatu, Tuvalu, Tonga, Fiji, Niue, and the Solomon Islands issued the Port Vila Resolution. The resolution calls for more public and private funding to facilitate a fair transition away from fossil fuels and a reform of the global climate finance framework (Australia Institute, 2023).",
Australia,Net zero target,"We evaluate the net zero target as: Poor Australia included its target to achieve net zero by 2050 in its updated NDCs in October 2021 and June 2022. The 2022 Climate Change Act enshrined the 2050 target in the law. Australia is preparing a new Net Zero Plan. Its current long-term emissions reduction plan for achieving net zero emissions by 2050, submitted to the UNFCCC as a Long-Term Strategy (LTS), was published in October 2021. The current strategy only reduces emissions by 60% below 2005 levels, excluding LULUCF and offsets. Overall, the plan relies heavily on the future development of low-emissions technology and domestic and international offsets with no plans to phase out coal, curb fossil fuel exports, or hold heavy polluters accountable. The Climate Change Authority (CCA) released its Sectoral Pathways Review in September 2024, which presents emissions reductions pathways to net zero by 2050 encompassing all sectors across the Australian economy. Together with CCA’s forthcoming 2035 targets advice, the sectoral pathways will be used by the government to inform its updated Net Zero Plan. Further analysis of Australia’s net zero emissions can be found here .",
Argentina,CAT rating of targets,"The CAT rates NDC targets against each country’s fair share contribution to global climate change mitigation, considering a range of equity principles including responsibility, capability, and equality. The CAT also rates NDC targets against indicative national emissions from global least-cost emissions pathways (called modelled domestic pathways). Developing countries like Argentina may need support to achieve emissions reductions in line with a physically required pathway to achieving the 1.5°C long-term temperature goal. The CAT rates Argentina's target as ""Highly insufficient"" both when rated against modelled domestic pathways, and when rated against the fair share contribution. Argentina has one NDC target. It has not specified whether a portion of the target is conditional on international support or whether its NDC has an international element, so we rate its NDC target against both frameworks, fairness and modelled domestic pathways. We rate Argentina’s 2030 NDC target as “Highly insufficient” when compared with modelled domestic emissions pathways , or what Argentina needs to do within its own borders. The “Highly insufficient” rating indicates that Argentina’s NDC target in 2030 leads to rising, rather than falling, emissions and is not at all consistent with limiting warming to 1.5°C. If all countries were to follow Argentina’s approach, warming could reach over 3°C and up to 4°C by end of the century. We rate Argentina’s 2030 NDC target as “Highly insufficient” when compared with its fair share contribution to climate action. The “Highly insufficient” rating indicates that Argentina’s NDC target is not at all consistent with any principle of fairness, like responsibility, capability, or equality. If all countries were to follow Argentina’s approach, warming could reach over 3°C and up to 4°C. The improvement in the CAT rating for Argentina’s NDC target since our last update, from “Critically insufficient” to “Highly insufficient”, is not due to Argentina submitting a new and stronger NDC target, but rather to a literature update to our fair share (FS) ranges, which aligns our equity approaches with international environmental law (Rajamani et al., 2021) and therefore exclude studies based on cost-effectiveness; we also included additional studies to reflect the latest research available in the field. Therefore, this change of ratings does not represent improved climate action on the ground, compared to our previous assessment. Further information on how the CAT rates countries (against modelled domestic pathways and fair share) can be found here .",
Argentina,Net zero and other long-term target(s),"We evaluate the net zero target as: Poor. In November 2022, Argentina submitted a long-term strategy (LTS) to the UNFCCC that includes a target to reach GHG neutrality by 2050 (Government of Argentina, 2022a). Argentina’s net zero target does not cover most of the good practice elements identified by the CAT net zero methodology . The target explicitly covers all gases and sectors of the economy, but the government fails to disclose other key information such as the role of carbon dioxide removals. Argentina could improve the target architecture and transparency of its net zero target. For example, the government could set separate emission and reduction targets and clarify its accounting methodology for LULUCF. It could further improve transparency on its planning process, the use of tools such as pathway modelling and specific sectoral policy objectives to reach net zero. For the full analysis click here .",
EU,CAT rating of targets,"The CAT rates NDC targets against each country’s fair share contribution to global climate change mitigation, considering a range of equity principles including responsibility, capability, and equality. The CAT also rates NDC targets against indicative national emissions from global least-cost emissions pathways (called modelled domestic pathways ). For assessing targets against the fair share , we consider both a country’s domestic emission reductions and any emissions it supports abroad through the use of market mechanisms or other ways of support, as relevant. The EU does not intend to use market mechanisms and will achieve its NDC target through domestic action alone. We rate its NDC target against both global domestic pathways and fairness metrics. On October 2023, the EU submitted an updated NDC. The target of reducing emissions by at least 55% below 1990 levels by 2030 (incl. LULUCF and international aviation) is the same as the previous NDC from December 2020. However, the EU has increased its land sector target by 85 MtCO 2 e implying that it is aiming to reduce net emissions by more than 55%. Excluding LULUCF and international aviation, the target equates to 52% below 1990 levels. The CAT rates this target as “Insufficient” when compared to the level of emissions reductions needed within the EU’s borders. The “Insufficient” rating indicates that the EU’s NDC target in 2030 needs substantial improvements to be consistent with limiting warming to 1.5°C. If all countries were to follow EU’s approach, warming would reach over 2°C and up to 3°C. The CAT’s assessment of the EU’s total fair share contribution takes into account its emissions reduction target and its climate finance. When measured against a fair share emissions allocation, we rate the EU’s NDC target as “Insufficient”. The “Insufficient” rating indicates that the EU’s NDC target in 2030 needs substantial improvement to be consistent with limiting warming to 1.5°C. The EU’s target is at the least stringent end of what would be a fair share of global effort, and is not consistent with the 1.5°C limit, unless other countries make much deeper reductions and comparably greater effort. Some of these improvements should be made to the domestic emissions target itself, others could come from supporting additional emissions reductions achieved in developing countries in the form of finance. If all countries were to follow the EU’s approach, warming would reach over 2°C and up to 3°C. The EU’s international climate finance is rated “Insufficient” and is not enough to improve the EU’s fair share rating. The EU’s international public climate finance contributions are higher than those of most other governments, but we still rate it “Insufficient.” The EU has committed to increasing its climate finance, but contributions to date have been low compared to its fair share. To improve its rating, the EU needs to ramp up the level of its international climate finance contributions post-2020 and accelerate the phase-out of fossil fuel finance abroad. In its concluded negotiation position for the upcoming CO29, the EU neglects to address the need for significantly scaled-up financial support for developing countries, a key factor for enabling ambitious climate action and ensuring a fair global transition. In 2022, the EU and its member states provided EUR 28.5 bn to developing countries (Council of the European Union, 2023a), but contributions still fall short of its fair share contribution. The EU remains committed through 2025 to the USD 100 bn collective goal of climate finance for developing countries, but the USD 100 bn goal itself is insufficient for the post-2020 period. The EU has not made clear how much its planned international climate finance contributions will be in the coming years. The Sustainable Finance Disclosure Regulation Framework (SFDR) was established to promote transparency in sustainable investments to support informed investment decisions. However, this has failed due to broad and vague definitions of what constitute green investments. For example, European investment funds labelled as ”green” under the SFDR have been directed towards major coal firms outside the EU, including the US, China and India, amounting to EUR 65 million as of April 2024 (Civillini & Rodriguez, 2024). In February 2022, European Commission published a complementary climate-delegated act to its Taxonomy Regulation (Council of the European Union, 2022a), which states that energy generation from fossil gas and nuclear should be classified as transition activities: activities that cannot yet be replaced by low carbon alternatives but that do contribute to emissions reduction. At COP29, the EU has reaffirmed that international public climate finance be focused on delivering on the New Collective Qualified Goal (NCQG). However, the EU has not indicated how much finance the bloc is ready to commit and has added a prerequisite to expand the number of contributors part of its position (CAN Europe, 2024). Further information on how the CAT rates countries (against modelled pathways and fair share) can be found here .",
EU,Net zero and other long-term target(s),"New 2040 target proposed in February 2024 In February 2024, the European Commission proposed a 2040 target of a 90% net GHG emissions reduction below 1990 levels (European Commission, 2024c). After the elections for the European Parliament, President von der Leyen reaffirmed support for the 90% target (von der Leyen, 2024a), which represents the least ambitious end of the 90-95% range initially recommended by the ESABCC (European Scientific Advisory Board on Climate Change (ESABCC), 2023). Based on the assumptions in the EU’s Impact Assessment for the 2040 target (European Commission, 2024a), we quantify the target as an 85% emissions reduction from 1990 or 660 MtCO 2 e by 2040 (excluding LULUCF but including industrial removals from DACCs and BECCS). This means that the EU will rely on increasing its LULUCF sinks to achieve the remaining 5–10%. The EU seems unlikely to be able to achieve the upper end of the range because even with its most ambitious LULUCF sink the EU would only able to reach a 94% total emissions reduction in 2040 from 1990. Net zero target In April 2021, the European Union adopted its Climate Law, setting into law the objective of collectively achieving “climate neutrality by 2050.” The objective of achieving climate neutrality by 2050, as agreed in the European Council’s conclusions from December 2019, has further been included in the EU’s LTS submitted to the UNFCCC in 2020. The EU’s climate neutrality – or, essentially, net zero – target is “Acceptable” in terms of its architecture, transparency and scope, including a legally-binding review and assessment process. At present, a clear separation of the contributions from emissions reductions versus removals is missing, although this is an element that is required of the forthcoming 2040 target. There is room for improvement in the target’s scope, as the Climate Law currently does not clearly state that international aviation and maritime transport emissions are included, and an explanation of why net zero by 2050 constitutes a fair contribution is lacking. The full analysis is available here .",
Costa Rica,CAT rating of targets,"The CAT rates NDC targets against what a fair contribution to achieving the Paris Agreement’s long-term temperature goal would be as well as against what needs to happen within a country’s own borders. Developing countries like Costa Rica will need support to achieve emission reductions in line with a physically required pathway to achieving the 1.5°C long-term temperature goal. Costa Rica has one NDC target. It has not specified whether a portion of the target is conditional on international support or whether its NDC has an international element, so we rate its NDC target against both fairness metrics and modelled domestic pathways. CAT ratings are based on emissions excluding the LULUCF sector. To obtain the NDC emissions level excluding LULUCF, the CAT takes two estimates provided by the Costa Rican government and creates a range. For more details, please see the Assumptions section. In the absence of a target conditional on international support, we rate Costa Rica’s 2030 NDC target as “Almost sufficient” when compared with modelled domestic emissions pathways. The “Almost sufficient” rating indicates that Costa Rica’s NDC target is not yet consistent with modelled domestic pathways limiting warming to 1.5°C but could be, with moderate improvements. If all countries were to follow Costa Rica’s approach, warming could be held below—but not well below—2°C. Costa Rica’s updated climate target represents an improvement compared to its first NDC, however it is not stringent enough to limit warming to 1.5°C. To improve its rating and be consistent with the 1.5°C temperature limit, Costa Rica could submit a conditional 2030 climate target that is at least 7% lower than its current unconditional target (equivalent to an absolute emissions limit of 11 MtCO 2 e excl. LULUCF in 2030) and, if necessary, outline the international support that it would need to achieve it. We rate Costa Rica’s 2030 NDC target as “1.5°C compatible” when compared with its fair-share contribution to climate action. The “1.5°C compatible” rating indicates that Costa Rica’s NDC target is consistent with its fair share of the global mitigation effort to limit warming to 1.5°C. Costa Rica’s NDC target does not require other countries to make comparably deeper reductions or greater effort and is in the most stringent part of its fair share range. Further information on how the CAT rates countries (against modelled pathways and fair share) can be found here .",
Costa Rica,Net zero and other long-term target(s),"We evaluate the net zero target as Acceptable. Costa Rica announced a net zero target for 2050 in its National Decarbonisation Plan 2018-2050 (Government of Costa Rica, 2019c). The net zero target covers most key elements but does not meet best practice standards for some of them. Costa Rica’s target covers all sectors and gases underpinned by emissions pathway analysis and the communication of strategic goals and emissions targets per sector. Pathways and key measures are identified comprehensively with interim goals attributable to discernible periods to reach net zero through domestic actions and without the use of international credits. The Costa Rican government does not provide explicit and transparent assumptions on some key elements. For example, Costa Rica provides no information on its intention to establish a formal periodic review cycle of measures and interim targets. To further improve its strategy, Costa Rica could provide separate targets for emission reductions and removals and include emissions from international bunkers. The policy document has also not yet been enshrined in law, which could make targets and measures legally binding and more robust. In 2019, Costa Rica presented its National Decarbonisation Plan 2018-2050 (Government of Costa Rica, 2019c). In this document, Costa Rica sets a national target of net-zero emissions in 2050—emissions including LULUCF—and describes a roadmap towards achieving this target. According to the sectoral breakdown provided in the plan, emissions in 2050 will be 5.5 MtCO 2 e excluding LULUCF. The pathway towards decarbonisation has been modelled as a linear decrease between 2020 and 2050.",
Colombia,CAT rating of targets,"The CAT rates NDC targets against what a fair contribution to achieving the Paris Agreement’s long-term temperature goal would be, as well as against what needs to happen within a country’s own borders. Colombia will need international support to achieve those needed reductions within its borders. Colombia has one NDC target. It has not specified whether a portion of the target is conditional on international support or whether its NDC has an international element, so we rate its NDC target against both metrics. Colombia has not put forward a target conditional on receiving international support. However, the NDC document mentions that for Colombia t o be able to move towards a more ambitious NDC, with additionality and impact, the continuity of international cooperation will be key to continuing on this path in all aspects of its NDC . The CAT methodology shows that provision of international support is consistent with the wide range of literature on fair share contributions to meeting the Paris Agreement's goals. As Colombia has not put forward a conditional target, we assess its unconditional NDC target against modelled domestic pathways, i.e. what would need to happen within Colombia’s borders to be consistent with limiting warming to 1.5°C. Against that framework, the unconditional NDC target rates it as “Insufficient”. The “Insufficient” rating indicates that the target needs substantial improvements to be consistent with limiting warming to 1.5°C. If all countries were to follow Colombia’s approach, warming would reach over 2°C and up to 3°C. Colombia’s rating has improved by one category, from “Highly insufficient” to “Insufficient”. The change is due to the manner in which we exclude LULUCF from the NDC, rather than any change in the target itself. In our last assessment, we indicated that there was significant uncertainty on the extent to which Colombia intends to rely on the land sector and so we developed a target range based on different approaches. Due to the further information provided in the country’s latest biennial report, we have dropped the upper end of our range (see Assumptions tab for further details). In addition to being inconsistent with a 1.5°C pathway when compared to modelled domestic pathways, Colombia’s NDC target is also inconsistent with a 1.5°C pathway when compared to its fair share contribution. In order to achieve its fair share contribution under the Paris Agreement, Colombia would need to reach absolute emissions of at or below 139 MtCO 2 e in 2030. We estimate Colombia’s NDC target to be 161 MtCO 2 e by 2030 (excl. LULUCF). The CAT rates the target as “Almost sufficient”. The “Almost sufficient” rating indicates that Colombia’s NDC target in 2030 is not yet consistent with limiting warming to 1.5°C but could be, with moderate improvements. Colombia’s target is within the range of what is considered to be a fair global effort, but would require other countries to make deeper reductions and comparably greater effort to limit warming to 1.5°C. If all countries were to follow Colombia’s approach, warming could be held below—but not well below—2°C. Colombia’s rating has improved by one category, from “Insufficient” to “Almost sufficient”. The change is due to the manner in which we exclude LULUCF from the NDC, rather than any change in the target itself (see the Assumptions tab for further details). Further information on how the CAT rates countries (against modelled pathways and fair share) can be found here .",
Colombia,Net zero and other long-term target(s),"Colombia has a net zero GHG emissions target by mid-century. In November 2021, Colombia submitted the National Long-Term Strategy ( E2050 ) to the UNFCCC. The Strategy includes different scenarios and pathways and outlines nine strategic initiatives with 48 transformation options to be considered by decision-makers. In December 2021, with the Law No. 2169 (Ley Climatica N°2169, 2021), Colombia promotes the country's low-carbon development through the establishment of minimum targets and measures for carbon neutrality and climate resilience. This enriches the carbon neutrality target into law. The strategy describes the need to carry out mitigation actions in all sectors, intending to reduce GHG emissions by 90%. A reduction of the remaining 10% of emissions will be achieved through land or carbon capture technology to reach net zero. We evaluate Colombia’s net zero target as “acceptable”. The full net zero target analysis can be found here .",
