header,rating,content_text
EU,Overview,no rating,"European Commission President Ursula von der Leyen has indicated her mandate for the next four years is to continue to pursue the goals of the European Green Deal (EGD), but will focus on implementation rather than increasing ambition. The EU has made significant progress in adopting the measures of the European Green Deal bringing it closer to achieving its 2030 target, but more action is required to close the gap. However, the EU is not fully on track to meet its 2030 target to reduce emissions by at least 55% below 1990 (including LULUCF). The CAT therefore rates the EU’s overall climate action and current 2030 emissions reduction target as ‘Insufficient’. The Commission's proposed 2040 target is a net 90% reduction in emissions below 1990, which represents the least ambitious end of the 90–95% range proposed by the European Scientific Advisory Board on Climate Change (ESABCC). The EU does not yet have a target specifically for 2035 emission reductions. Based on modelled domestic pathways, the CAT would recommend a 2035 emissions reduction target of at least 74% (excl. LULUCF), or a 78% reduction (incl. LULUCF) below 1990 levels, along with substantially increased climate finance and other support for developing countries. The CAT finds that the EU’s proposed 2040 target of at least 90–95% reduction (including LULUCF) results in an emissions reduction of 85% when excluding LULUCF. This emission reduction target for 2040 would be consistent with 1.5°C modelled domestic pathways. There remains an open question however as to whether or not the emission pathway of the European Union from 2030 through 2040 is 1.5° aligned as whole and that can only be assessed once the European Union has submitted the relevant targets. The EU has signalled that it recognises the importance of scaling up international climate finance and while it has been increasing its contributions, it would need drastically increase its financial support to achieve its own commitments. Positively, the EU has worked to mobilise more private finance, through for example the EU Taxonomy and Sustainable Finance Disclosure Regulation to make sustainable investments more transparent. The latter is currently being assessed to address its shortfalls around its sustainability criteria. In 2023 at COP28, the EU called for a global phase-out of “unabated” fossil fuels and fossil fuel subsidies not used for a just transition, however the European Union has not yet moved to establish concrete domestic phase out targets for fossil fuels which would be needed to operationalise the transition away from these fuels as a matter of urgency. As a major importer of fossil fuels this will be an important initiative. The EU has made significant progress over the past four years with the European Green Deal. Prior to the EGD, in 2019 the EU’s planned policies were projected to achieve only a 33% emission reduction by 2030 below 1990 levels. With its current planned policies, it is on track to achieve a 52% reduction. In 2024 alone, the EU successfully adopted key proposals under the EGD. Some of the major accomplishments included the revisions of the Energy Performance in Buildings Directive, the Gas Regulation and Directive and the Methane Regulation. Positively these packages: Establish more ambitious mandates for renovating Europe’s buildings to be more efficient than before and signal a shift to move away from fossil fuels. Establish a framework for a hydrogen market, enabling the scaling up of hydrogen to support the decarbonisation of certain sectors such as industry and shipping. Introduce new requirements for the fossil fuel industry to monitory and report methane emission and to take appropriate mitigation measures to abate their emissions. While these are positive steps in the right direction, many gaps and loopholes in these regulations remain and in some cases were missed opportunities to establish fossil fuel phase out and sector specific targets. To continue improving its climate action, the EU should: Stop investing in additional fossil gas infrastructure and focus its efforts on the renewable energy transition. This would also entail closing loopholes which make exceptions for fossil fuels, particularly LNG, to prevent the risk of long-term lock-in investments, Agree to a full phase out fossil fuels across all sectors, with coal phased out altogether by 2030, and fossil gas by 2035, Strictly limit its dependence on carbon capture and storage through to 2050 to only those sectors where there is no reasonable alternative to abatement at source or whole of system changes that could be deployed to eliminate CO 2 emissions without the application of CCS. The EU should not allow CCS in the power sector as the sector can decarbonise completely without this technology, Agree on an ambitious 2035 target of at least 78% below 1990 levels (incl. LULUCF) and including fossil fuel phase-out dates, Substantially increase its climate finance contributions , including through returning revenues from the new Carbon Border Adjustment Mechanism (CBAM) to support decarbonisation in developing countries, and Update its long-term strategy for reaching its net zero target , especially given that the EU Commission has assessed Member States’ progress towards the EU’s climate neutrality target as insufficient."
EU,Description of CAT ratings,no rating,"The CAT rates each country’s targets and policies against (1) its fair share contribution to climate change mitigation considering a range of equity principles including responsibility, capability and equality, and (2) what is technically and economically feasible using modelled domestic pathways which in absence of a better method are based on global least-cost climate change mitigation. Comparing a country’s fair share ranges and modelled domestic pathways provides insights into which governments should provide climate finance and which should receive it. Developed countries with large responsibility for historical emissions and high per-capita emissions, must not only implement ambitious climate action domestically but must also support climate action in developing countries with lower historical responsibility, capability, and lower per-capita emissions."
EU,Overall rating,Insufficient,"The CAT rates the EU’s climate targets, policies and finance as “Insufficient”. The “Insufficient” rating indicates that the EU’s climate policies and commitments need substantial improvements to be consistent with the Paris Agreement’s 1.5°C temperature limit. We rate the EU’s NDC target as “Insufficient” compared to its fair share contribution and to modelled domestic pathways. To improve its rating, the EU should strengthen its domestic emissions reduction target for 2030 to at least 62% (excluding LULUCF and international aviation) below 1990, close gaps and remove loopholes in existing policies prolonging fossil fuel use, and significantly increase its support for climate action in developing countries in line with its fair share contribution to climate change mitigation. The EU’s policies and action are also rated “Insufficient”. With the full implementation of the EU’s planned policies under the Fit for 55 and REPowerEU initiatives the EU will come close to meeting its NDC target for 2030. However, not all proposals under the Fit for 55 package have been adopted. Targets and measures under available member states’ National Energy and Climate Plans are also failing to meet the EU’s targets, and half of member states have not submitted these plans. The overall lack of ambition of the EU’s 2030 NDC target will mean that it will need to adopt more rapid and deeper emission reduction measures later, in order to achieve a 1.5°C compatible pathway to climate neutrality by mid-century."
EU,Policies and action against modelled domestic pathways,Insufficient,"Current and planned policies will not be enough for the EU to reach its NDC target. The CAT rates the EU’s climate policies and action against modelled domestic pathways as “Insufficient”. This represents no change from the previous assessment as there have been no major new policy developments. Since our last assessment (February 2024), the EU has adopted several proposals, such as the Energy Performance in Buildings Directive. However, others are still on the table, most notably the 2040 climate targets and Energy Taxation Directive, which we consider under our updated planned policies projections. The upper bound of our policies and action emissions projection range is based on policies reported by member states in 2023, which would result in an emissions reduction of around 43% (excl. LULUCF) below 1990 by 2030. The bottom end of the range is based on policies adopted at the EU level, including the stronger binding renewable energy target (42.5%), which would result in reducing emissions by 49% (excl. LULUCF). Our updated planned policies projection shows the EU comes close to achieving its NDC if all its proposals under the Fit for 55 and REPowerEU packages are implemented, achieving a 51% emissions reduction from 1990. The projection includes the EU’s indicative renewable energy goal (45%) and additional measures planned. The full policies and action analysis can be found here ."
EU,NDC target against modelled domestic pathways,Insufficient,"In October 2023, the EU submitted an updated NDC with a target of reducing emissions by at least 55% below 1990 levels by 2030 (incl. LULUCF and international aviation) - which is the same as the previous EU NDC from December 2020. However, the EU has increased its land sector target by 85 MtCO 2 e, implying that it is aiming to reduce net emissions by more than 55%. Excluding LULUCF and international aviation, the 2030 target equates to 52% below 1990 levels. The CAT rates this target as “Insufficient” when compared to the level of emissions reductions needed within the EU’s borders. The “Insufficient” rating indicates that the EU’s NDC target in 2030 needs substantial improvements to be consistent with limiting warming to 1.5°C. If all countries were to follow EU’s approach, warming would reach over 2°C and up to 3°C."
Costa Rica,Overview,no rating,"Note: We have updated the text assessment to reflect the latest policy developments in Costa Rica. The CAT’s ratings and data are from our 2023 evaluation and will be updated soon. Costa Rica has made good progress towards its climate goals. This shows in the uptake of electric vehicles (EVs) and the enhancement of carbon sinks. However, the current administration are sending worrying signals that the full implementation of the climate policies and measures necessary to meet Costa Rica’s own targets could be deterred. Key electric public transportation projects have been on pause or have been downscaled in ambition. The oil moratorium bill also faces challenges, as President Chaves has announced his opposition to it, along with his intention to explore Costa Rica’s fossil fuel reserves. Despite these recent developments, the CAT still rates Costa Rica’s climate targets and policies as “Almost sufficient”. The most important climate policy in Costa Rica is its National Decarbonisation Plan (NDP), which sets out economy-wide policies and actions to meet its net zero target. While Costa Rica had regularly published updates on the implementation of the NDP, the most recent iteration of the report (from 2022) only evaluated progress up to 2021. Some of the most significant goals of the first implementation phase that were considered ‘at risk’ of not being achieved, such as the electrified rail projects, are still under scrutiny by the current government. If this trend persists, Costa Rica's chances of meeting its 2030 emissions targets becomes increasingly unlikely. Between 2015 and 2022, Costa Rica generated nearly 100% of its electricity from renewables, mainly hydropower. This decreased to 95% in 2023 due to low rainfall conditions. This decreasing trend escalated in 2024, with a quarter of Costa Rica’s electricity generation coming from fossil-fuel-powered thermal plants in April, although this has dropped to under 10% as of July. To sustain renewable electricity production, Costa Rica needs to take steps to diversify its electricity mix, especially by expanding solar and wind capacity. Costa Rica has reached a considerable national market share of EVs, making up 12% of total vehicle sales in 2023. It has also advanced the deployment of key infrastructure to support its growing EV fleet, although the installation rate of fast charging points has not kept up with EV growth. On the other hand, the steps to electrify public transport and promote modal shift have either made little progress or have been scaled down in ambition, with public transport projects decreasing their planned coverage or not running as a fully electric unit (i.e. diesel-hybrids). Costa Rica could set itself on a firm 1.5°C-compatible trajectory by considering the following actions: Setting a conditional NDC target which also outlines the international support necessary to achieve it. Ratifying the oil moratorium , originally declared in 2002, to enshrine the bill into law and ensure that Costa Rica does not become an oil producer. Continue to monitor and report progress on the implementation of the National Decarbonisation Plan to ensure that its goals are achieved by Costa Rica’s current policies and mitigation actions. Diversify its renewable energy portfolio to reduce overreliance on hydropower for electricity generation, which is heavily affected by weather conditions. Since the last CAT update, there have also been some positive developments in Costa Rica’s climate policies, including: A rapid increase in EV sales. The continued development of new policies and initiatives (e.g. NAMAs) to address emissions in the agriculture sector, which accounts for a notable share of Costa Rica’s emissions. The biofuel mandate will require gas stations to incorporate 10% ethanol into their gasoline and is a positive sign that some main objectives of the National Decarbonisation Plan are being met, provided it does not result in emissions increases elsewhere."
Costa Rica,Description of CAT ratings,no rating,"The CAT rates each country’s targets and policies against (1) its fair share contribution to climate change mitigation considering a range of equity principles including responsibility, capability and equality, and (2) what is technically and economically feasible using modelled domestic pathways which in absence of a better method are based on global least-cost climate change mitigation. Comparing a country’s fair share ranges and modelled domestic pathways provides insights into which governments should provide climate finance and which should receive it. Developed countries with large responsibility for historical emissions and high per-capita emissions, must not only implement ambitious climate action domestically but must also support climate action in developing countries with lower historical responsibility, capability, and lower per-capita emissions."
Costa Rica,Overall rating,Almost Sufficient,"The CAT rates Costa Rica’s climate targets and policies as “Almost sufficient”. The “Almost sufficient” rating indicates that while Costa Rica’s climate policies are consistent with the Paris Agreement’s 1.5°C temperature limit, its climate commitments are not, but could be with moderate improvements. Costa Rica’s 2030 emissions reduction target of “maximum absolute net emissions of 9.11 MtCO 2 e incl. LULUCF” is rated as “Almost sufficient” when compared to modelled domestic emissions pathways and “1.5°C Paris Agreement compatible” when compared with its fair-share contribution to climate action. Given that the target already meets its fair-share contribution to limiting warming to 1.5°C, Costa Rica should receive external support to implement its additional climate policies and further strengthen its reduction target."
Costa Rica,Policies and action  against fair share,1.5°C compatible,"We rate Costa Rica’s policies and actions as “1.5°C compatible” when compared to its fair share. The “1.5°C compatible” rating indicates that Costa Rica’s climate policies and action are consistent with limiting warming to 1.5°C. Costa Rica has made strides in implementing its National Decarbonisation Plan, but some key policies and projects have yet to be realised, especially those related to electric transportation and modal shift. On the other hand, Costa Rica’s efforts have been evident in the significant uptake of EVs, which made up 12% of vehicle sales in 2023. The large majority of Costa Rica’s electricity comes from renewable sources, but in 2024 a notable share of thermal energy (from burning fossil fuels) has been used to compensate for reduced hydropower production due to drought. Efforts to enshrine the fossil fuel moratorium into law have also faced challenges during the legislative process. Costa Rica should focus on expanding the use of its many renewable energy sources instead of increasing its dependence on fossil fuels. If Costa Rica wants to maintain its 1.5°C compatibility, it should ensure that the measures under the National Decarbonisation Plan continue to be implemented and should also avoid increased fossil fuel use through abandoning the moratorium. The full analysis of policies and action can be found here ."
Costa Rica,NDC target against modelled domestic pathways,Almost Sufficient,"We rate Costa Rica’s 2030 NDC target as “Almost sufficient” when compared with modelled domestic emissions pathways. The “Almost sufficient” rating indicates that Costa Rica’s NDC target is not yet consistent with the 1.5°C temperature limit but could be with moderate improvements. Costa Rica’s updated climate target represents an improvement compared to its first NDC, however, it is not stringent enough to limit warming to 1.5°C. To improve its rating and be consistent with the 1.5°C temperature limit, Costa Rica could submit a 2030 climate target that is at least 7% lower than its current target (equivalent to an absolute emissions limit of 11 MtCO 2 e excl. LULUCF in 2030) and, if necessary, outline the international support that it would need to achieve it."
