country_name,overall_rating,policies_action_domestic,ndc_target_domestic,ndc_target_fair,climate_finance,net_zero_target_year,net_zero_target_rating,land_forestry_use
EU,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,2050,Acceptable,Not significant
Costa Rica,Almost Sufficient,1.5°C compatible,Almost Sufficient,1.5°C compatible,Not applicable,2050,Acceptable,Sink
Colombia,Insufficient,Insufficient,Insufficient,Almost Sufficient,Not applicable,2050,Acceptable,Source
China,Highly insufficient,Insufficient,Highly insufficient,Insufficient,Not assessed,before 2060,Poor,Not significant
Chile,Almost Sufficient,Almost Sufficient,Almost Sufficient,Almost Sufficient,Not assessed,2050,Acceptable,Sink
Canada,Insufficient,Insufficient,Almost Sufficient,Insufficient,Highly insufficient,2050,Average,Source & Sink
Brazil,Insufficient,Insufficient,Almost Sufficient,Almost Sufficient,Not applicable,2050,Poor,Source
Bhutan,Almost Sufficient,1.5°C compatible,1.5°C global least cost,Almost Sufficient,Not applicable,2050,Information incomplete,Sink
Australia,Insufficient,Insufficient,Insufficient,Insufficient,Critically insufficient,2050,Poor,Source
Argentina,Critically insufficient,Critically insufficient,Highly insufficient,Highly insufficient,Not assessed,2050,Poor,Source
Rating system,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Critically insufficient,Critically insufficient,Critically insufficient,Critically insufficient,Not applicable,2060,Information incomplete,Source
India,Highly insufficient,Insufficient,Highly insufficient,Insufficient,Not applicable,2070,Poor,Not significant
Germany,Insufficient,Almost Sufficient,Almost Sufficient,Insufficient,Insufficient,2045,Average,Not significant
Gabon,NA,NA,NA,NA,NA,NA,NA,NA
Countries,NA,NA,NA,NA,NA,NA,NA,NA
Viet Nam,Critically insufficient,Critically insufficient,Critically insufficient,Critically insufficient,Not applicable,2050,Average,Not significant
United Kingdom,Insufficient,Insufficient,Almost Sufficient,Insufficient,Highly insufficient,2050,Acceptable,Not significant
Ukraine,NA,NA,NA,NA,NA,NA,NA,NA
USA,Insufficient,Insufficient,Almost Sufficient,Insufficient,Critically insufficient,2050,Average,Not significant
UAE,Insufficient,Insufficient,Almost Sufficient,Insufficient,Not assessed,2050,Average,Not assessed
Türkiye,Critically insufficient,Highly insufficient,Critically insufficient,Critically insufficient,Information incomplete,2053,Poor,Not significant
The Gambia,Almost Sufficient,1.5°C compatible,Almost Sufficient,1.5°C compatible,Not applicable,2050,Poor,Source & Sink
Thailand,Critically insufficient,Critically insufficient,Insufficient,Critically insufficient,Not applicable,2065,Average,Sink
Switzerland,Insufficient,Almost Sufficient,Insufficient,Insufficient,Insufficient,2050,Acceptable,Not significant
South Korea,Highly insufficient,Highly insufficient,Insufficient,Highly insufficient,Not assessed,2050,Average,Not significant
South Africa,Insufficient,Insufficient,Almost Sufficient,Insufficient,Not applicable,2050,Information incomplete,Not significant
Singapore,Highly insufficient,Insufficient,Highly insufficient,Highly insufficient,Not assessed,2050,Poor,Not significant
Saudi Arabia,Critically insufficient,Critically insufficient,Critically insufficient,Critically insufficient,Not applicable,2060,Poor,Not significant
Russian Federation,Critically insufficient,Highly insufficient,Highly insufficient,Critically insufficient,Critically insufficient,2060,Poor,Sink
Philippines,Insufficient,Insufficient,1.5°C global least cost,Insufficient,Not applicable,"
                        No target
                    ",NA,Sink
Peru,Insufficient,Almost Sufficient,Insufficient,Insufficient,Not applicable,2050,Information incomplete,Source
Norway,Almost Sufficient,Almost Sufficient,1.5°C global least cost,Insufficient,Insufficient,"
                        No target
                    ",NA,Sink
Nigeria,Almost Sufficient,1.5°C compatible,Almost Sufficient,1.5°C compatible,Not applicable,2050-2070,Average,Not significant
New Zealand,Highly insufficient,Highly insufficient,Almost Sufficient,Insufficient,Highly insufficient,2050,Poor,Sink
Nepal,Almost Sufficient,1.5°C compatible,Critically insufficient,1.5°C compatible,Not applicable,2045,Average,Source & Sink
Morocco,Almost Sufficient,1.5°C compatible,Almost Sufficient,Almost Sufficient,Not applicable,Not specified,Information incomplete,Not significant
Mexico,Critically insufficient,Highly insufficient,Highly insufficient,Critically insufficient,Not assessed,N/A,No target,Sink
Kenya,Almost Sufficient,1.5°C compatible,Critically insufficient,1.5°C compatible,Not applicable,"
                        No target
                    ",NA,Source
Kazakhstan,Insufficient,Insufficient,Almost Sufficient,Insufficient,Not assessed,2060,Average,Not significant
Japan,Insufficient,Insufficient,Insufficient,Insufficient,Highly insufficient,2050,Poor,Not significant
Iran (Islamic Republic of),Critically insufficient,Critically insufficient,Critically insufficient,Critically insufficient,Not assessed,"
                        No target
                    ",NA,Not significant
Ethiopia,Almost Sufficient,1.5°C compatible,Critically insufficient,1.5°C compatible,Not applicable,Not specified,Information incomplete,Source
Egypt,Highly insufficient,Insufficient,Highly insufficient,Critically insufficient,Not applicable,"
                        No target
                    ",NA,Not significant
